sensor_id,time,temperature,pressure,humidity,gas_resistance,smell
6,762898,30.994837,9.116884,39.096165,5684.846191,sanitizer
7,762953,30.824589,9.118022,38.792229,8762.322266,sanitizer
0,765568,30.519897,9.11709,42.395969,5684.846191,sanitizer
1,765622,30.493816,9.117063,42.594051,5684.846191,sanitizer
2,765677,30.685658,9.119068,41.486233,5684.846191,sanitizer
3,765732,30.834152,9.119216,41.476582,5684.846191,sanitizer
4,765788,31.437876,9.121074,38.4338,5684.846191,sanitizer
5,765843,31.108959,9.120053,38.870918,5684.846191,sanitizer
6,765898,31.004902,9.116945,38.174072,5684.846191,sanitizer
7,765953,30.832249,9.117941,37.958569,7795.371582,sanitizer
0,768568,30.504822,9.117009,41.648052,5684.846191,sanitizer
1,768622,30.486179,9.117264,41.898209,7314.285645,sanitizer
2,768677,30.680592,9.119104,40.577667,5684.846191,sanitizer
3,768732,30.829096,9.119231,40.498566,6382.129883,sanitizer
4,768788,31.442921,9.121041,37.643684,7600.950195,sanitizer
5,768843,31.116537,9.120112,38.16901,7755.695801,sanitizer
6,768898,30.999868,9.117116,37.56686,9036.995117,sanitizer
7,768953,30.842459,9.118076,37.429241,14925.373047,sanitizer
0,771568,30.529947,9.117219,40.920013,5684.846191,sanitizer
1,771622,30.481089,9.11715,40.95348,5684.846191,sanitizer
2,771677,30.675528,9.118997,39.960564,5684.846191,sanitizer
3,771732,30.821508,9.11912,39.721077,5684.846191,sanitizer
4,771788,31.442921,9.121149,37.214577,5684.846191,sanitizer
5,771843,31.126642,9.120056,37.86731,6225.681152,sanitizer
6,771899,30.989801,9.116844,37.248638,7683.073242,sanitizer
7,771953,30.852671,9.118192,37.259785,12590.989258,sanitizer
0,774568,30.537481,9.117435,40.789406,5684.846191,sanitizer
1,774622,30.491268,9.117006,40.828754,6893.580566,sanitizer
2,774677,30.700855,9.119269,39.641083,5736.823242,sanitizer
3,774732,30.839209,9.119594,39.35083,5712.245605,sanitizer
4,774788,31.450485,9.12153,36.816685,5684.846191,sanitizer
5,774843,31.13422,9.120043,37.400196,5991.387207,sanitizer
6,774898,30.997351,9.117253,36.96806,5684.846191,sanitizer
7,774953,30.862885,9.118255,36.867535,9818.962891,sanitizer
0,777568,30.545019,9.117335,40.760391,5684.846191,sanitizer
1,777622,30.488724,9.117039,40.924374,7259.52832,sanitizer
2,777677,30.685658,9.119123,39.299854,8048.289551,sanitizer
3,777732,30.818979,9.119136,39.142181,7483.629395,sanitizer
4,777788,31.463093,9.121535,36.72435,8698.015625,sanitizer
5,777843,31.156948,9.12004,37.107151,10322.581055,sanitizer
6,777898,31.02,9.117434,36.894325,9256.581055,sanitizer
7,777953,30.878201,9.118502,36.693333,17997.75,sanitizer
0,780568,30.550045,9.117585,40.081451,7123.775391,sanitizer
1,780622,30.514181,9.117424,40.436321,9555.09082,sanitizer
2,780677,30.710983,9.119214,38.584156,7541.833496,sanitizer
3,780732,30.836681,9.119182,38.549915,7622.677246,sanitizer
4,780788,31.460571,9.12123,36.093266,7186.166504,sanitizer
